3650.15,0.168730004173042	
4046.56,0.504636713497473
4358.33,1
5460.74,0.811424862057773
5769.6,0.579589187184124
5790.66,0.270042194092827
6965.4265,0.115917837436825
5852.4878,1
5944.834,0.10492
6029.9968,0.0376
6074.3376,0.15792
6096.163,0.20348
6143.0627,0.34517
6163.5937,0.11925
6217.2812,0.05824
6266.4952,0.2073
6304.7893,0.05761
6334.4276,0.15745
6382.9914,0.28786
6402.248,0.52018
6506.5277,0.25702
6532.8824,0.09763
6598.9528,0.12778
6678.2766,0.25463
6717.043,0.16292
6929.4672,0.19251
7032.4128,0.5563
7173.938,0.02255
7245.1665,0.19111
7488.8712,0.03884
7535.7739,0.04444
7724.6233,0.03404
7943.1805,0.04739
8118.5495,0.15988
8266.0769,0.03291
8300.3248,0.02934
8377.607,0.14797
8418.4265,0.06293
8495.3591,0.08457
8591.2583,0.01698
8634.6472,0.02673
8654.3828,0.03428
8681.9216,0.01797
8853.8669,0.02141
8865.7562,0.01833
8919.5007,0.00647
9201.7588,0.00615
