Wavelength,Int_norm
2000,0.000115917837436825
3125.67,0.000162284972411555
3131.55,0.00023183567487365
3341.48,0.00130987156303612
3650.15,0.168730004173042
3654.84,0.0406060184541197
3663.28,0.0318774052951268
3901.87,0.00137942226549822
3906.37,0.00153011545416609
4046.56,0.504636713497473
4077.83,0.0451499976816433
4348.063,0.0463671349747299
4358.327,1
4916.07,0.023183567487365
5460.74,0.811424862057773
5769.6,0.579589187184124
5790.66,0.270042194092827
5882.6226,0.0115917837436825
6032.1244,0.00579589187184124
6234.3929,0.00463671349747299
6384.7144,0.00579589187184124
6416.3038,0.00347753512310474
6598.684,0.00579589187184124
6677.2784,0.00579589187184124
6716.4228,0.00579589187184124
6752.83,0.0023183567487365
6871.286,0.0023183567487365
6907.5212,0.023183567487365
6965.4265,0.115917837436825
7067.217,0.0115917837436825
7081.894,0.00289794593592062
7091.8613,0.0023183567487365
7147.041,0.00289794593592062
7272.935,0.0023183567487365
7383.9796,0.00173876756155237
7503.8685,0.00173876756155237
7514.6514,0.00173876756155237
7635.1056,0.00115917837436825
7723.7599,0.00115917837436825
7948.1755,0.00115917837436825
8006.157,0.00579589187184124
8014.786,0.00579589187184124
8103.693,0.00579589187184124
8115.311,0.00579589187184124
8264.523,0.00579589187184124
8408.2096,0.000579589187184124
8424.6475,0.000579589187184124
8521.4422,0.000579589187184124
9122.9674,0.00023183567487365
3520.4714,0.00828
3593.5263,0.00537
5037.7512,5.83E-04
5116.5032,7.63E-04
5330.7775,0.0023
5341.0938,0.00287
5400.5616,0.01363
5764.4188,0.00734
5852.4878,1
5881.895,0.10191
5944.834,0.10492
5975.5343,0.03624
6029.9968,0.0376
6074.3376,0.15792
6096.163,0.20348
6143.0627,0.34517
6163.5937,0.11925
6217.2812,0.05824
6266.4952,0.2073
6304.7893,0.05761
6334.4276,0.15745
6382.9914,0.28786
6402.248,0.52018
6506.5277,0.25702
6532.8824,0.09763
6598.9528,0.12778
6678.2766,0.25463
6717.043,0.16292
6929.4672,0.19251
7032.4128,0.5563
7173.938,0.02255
7245.1665,0.19111
7438.8981,0.04466
7488.8712,0.03884
7535.7739,0.04444
7724.6233,0.03404
7943.1805,0.04739
8118.5495,0.15988
8266.0769,0.03291
8300.3248,0.02934
8377.607,0.14797
8418.4265,0.06293
8495.3591,0.08457
8591.2583,0.01698
8634.6472,0.02673
8654.3828,0.03428
8681.9216,0.01797
8853.8669,0.02141
8865.7562,0.01833
8919.5007,0.00647
9201.7588,0.00615
9300.8532,0.00554
9326.5072,0.005
9665.42,0.02074
10798.043,0.14022
