#Hg; Angstroms
3341.48
3650.146
3654.833
3663.276
4046.563
4077.831
4358.328
4916.068
5460.735
5769.598
5790.640
# Ar; Units Angstroms
3554.305
3606.522
3834.678
3948.979
4044.418
4158.591
4200.675
4300.101
4333.561
4345.168
4510.733
4522.323
4589.289
4596.097
4628.441
4702.316
5162.285
5187.746
5221.270
5252.787
5421.351
5451.652
5495.873
5558.702
5606.733
5650.704
5739.519
5834.264
5860.310
5912.085
6032.127
6105.635
6173.096
6215.939
6384.717
6416.307
6538.112
6604.853
6677.281
6871.289
6965.430
7067.217
7147.041
7272.935
7383.980
7635.105
7724.207
7948.176
8103.692
8115.311
8264.521
8408.209
8424.647
8521.441
8667.943
9122.967
9224.498
9354.218
9657.786
9784.502

3323.75	NeII
3334.87	NeII
3369.87	NeI
3378.28	NeII
3417.903	NeI
3447.703	NeI
3454.195	NeI
3466.579	NeI
3472.571	NeI
3501.216	NeI
3520.472	NeI
3568.53	NeII
3593.56	NeI
3600.169	NeI
3664.112	NeII
3694.197	NeII
3709.64	NeII
3713.084	NeII
3727.08	NeII
3766.29	NeII
3777.16	NeII
3829.77	NeII
4219.76	NeII
4231.6	NeII
4275.11	NeI
4290.4	NeII
4379.5	NeII
4391.94	NeII
4397.94	NeII
4409.3	NeII
4413.2	NeII
4428.54	NeII
4430.9	NeII
4537.704	NeI
4656.394	NeI
4704.395	NeI
4715.347	NeI
4752.732	NeI
4818.4	NeI
4821.924	NeI
4827.344	NeI
4837.312	NeI
4957.033	NeI
5005.159	NeI
5031.35	NeI
5037.751	NeI
5074.2	NeI
5080.385	NeI
5116.503	NeI
5122.3	NeI
5144.97	NeI
5158.902	NeI
5188.612	NeI
5193.224	NeI
5203.895	NeI
5208.865	NeI
5222.351	NeI
5234.028	NeI
5274.039	NeI
5280.085	NeI
5298.19	NeI
5304.758	NeI
5326.396	NeI
5330.778	NeI
5341.094	NeI
5349.204	NeI
5355.3	NeI
5360.012	NeI
5400.562	NeI
5412.649	NeI
5418.558	NeI
5433.651	NeI
5656.659	NeI
5662.549	NeI
5689.816	NeI
5719.225	NeI
5748.298	NeI
5764.419	NeI
5804.098	NeI
5820.156	NeI
5852.488	NeI
5881.895	NeI
5902.462	NeI
5944.834	NeI
5965.471	NeI
5975.534	NeI
6029.997	NeI
6074.338	NeI
6096.163	NeI
6128.451	NeI
6143.063	NeI
6163.594	NeI
6217.281	NeI
6266.495	NeI
6304.789	NeI
6334.428	NeI
6382.992	NeI
6402.246	NeI
6506.528	NeI
6532.882	NeI
6598.953	NeI
6652.09	NeI
6678.276	NeI
6717.043	NeI
6929.467	NeI
7024.05	NeI
7032.413	NeI
7059.107	NeI
7173.939	NeI
7245.167	NeI
7438.899	NeI
7472.438	NeI
7488.871	NeI
7535.774	NeI
7544.044	NeI
7839.06	NeI
7927.11	NeI
7937.01	NeI
7943.181	NeI
8082.458	NeI
8118.549	NeI
8128.908	NeI
8136.406	NeI
8259.379	NeI
8266.079	NeI
8300.326	NeI
8365.749	NeI
8377.606	NeI
8418.427	NeI
8463.37	NeI
8484.45	NeI
8495.359	NeI
8544.7	NeI
8571.353	NeI
8582.91	NeI
8591.259	NeI
8634.647	NeI
8647.04	NeI
8654.384	NeI
8681.922	NeI
8704.113	NeI
8771.659	NeI
8780.622	NeI
8783.754	NeI
8853.867	NeI
8865.306	NeI
8919.499	NeI
8988.58	NeI
9148.68	NeI
9201.76	NeI
9220.05	NeI
9226.67	NeI
9275.53	NeI
9300.85	NeI
9310.58	NeI
9313.98	NeI
9326.52	NeI
9373.28	NeI
9425.38	NeI
9459.21	NeI
9486.68	NeI
9534.167	NeI
9547.4	NeI
9665.424	NeI

