Wavelength,Intensity
4300.6493,85
4309.0931,93
4309.2385,120
4329.4385,8
4331.1992,603
4332.0295,162
4333.561,100
4335.338,50
4337.0705,54
4338.2312,6
4339.2232,50
4345.168,25
4345.8968,9
4347.4945,150
4348.0635,1995
4352.2047,200
4358.335,12000
4362.066,78
4367.8314,129
4370.7529,617
4371.3285,355
4372.4888,10
4374.8574,30
4375.954,209
4379.2128,11
4379.6665,550
4379.8805,794
4382.93,5
4383.7545,14
4385.0565,117
4386.9656,5
4397.798,5
4398.617,40000
4400.0964,257
4400.986,8710
4404.9019,18
4406.4696,10
4420.9118,47
4426.0008,1514
4430.1885,661
4430.9959,251
4433.8377,120
4438.1173,7
4439.4611,95
4439.8786,22
4440.1213,13
4445.846,5
4448.4587,14
4448.8791,166
4449.201,7
4449.521,7
4460.5558,35
4470.58,15
4474.7591,347
4481.8104,646
4490.9813,48
4491.552,2000
4492.831,2800
4498.5374,25
4502.9265,42
4510.733,100
4522.323,20
4530.5522,63
4535.4905,21
4537.6409,13
4543.8702,10
4545.0516,1738
4547.7582,20
4552.84,12
4561.0124,7
4564.4055,42
4565.21,8
4579.3493,871
4589.8976,25704
4596.097,15
4598.7625,182
4609.5669,2291
4611.2432,9
4628.441,7
4637.2324,148
4657.9009,1445
4660.219,30000
4681.4971,5
4682.2759,21
4687.618,5
4702.316,15
4703.3576,15
4710.823,14
4721.5913,32
4726.8681,23442
4730.672,7
4731.386,7
4732.053,200
4735.9055,1000
4742.297,300
4757.2197,5
4764.8644,2344
4786.15,6
4792.0818,17
4797.01,50
4806.0202,1820
4825.566,17000
4847.8095,832
4847.846,11
4847.9991,9
4865.9109,83
4867.5554,17
4869.85,10
4879.8634,2239
4882.2424,21
4882.999,6
4888.2605,8
4889.0419,288
4891.984,6
4904.7514,107
4914.3151,7
4916.068,20
4933.2089,251
4942.921,19
4949.3999,6
4955.1096,8
4960.1,100
4965.0794,891
4970.37,6
4972.1599,100
4973.57,80
4980.64,6
4992.617,10
5009.3342,355
5017.1626,7413
5017.279,100
5017.6337,14
5025.607,100
5062.037,398
5066.493,1200
5090.4948,45
5098.559,60
5100.946,100
5102.705,30
5120.637,70
5121.4804,5
5125.7663,17
5137.94,30
5141.7826,224
5145.308,162
5146.289,15000
5151.391,5
5152.8606,5
5162.285,15
5162.7467,14
5165.7727,48
5176.229,26
5187.746,20
5191.3656,10
5202.193,5
5204.4432,7
5204.768,150000
5210.82,30
5216.382,40000
5216.814,28
5221.271,7
5221.864,6
5230.5008,6
5245.3778,7
5249.5457,11
5251.1051,12
5251.4029,11
5256.5648,8
5261.8987,7
5264.7819,17
5267.1634,14
5277.591,18000
5281.6295,21
5286.8866,18
5290.0551,9
5290.74,30
5293.248,200
5293.8157,6
5296.3883,7
5299.0805,5
5300.7745,8
5308.074,5
5311.9816,5
5312.078,5
5316.776,6
5329.6992,10
5331.042,6
5344.5228,7
5348.2636,13
5354.034,130
5358.3797,14
5359.0657,6
5365.5,12
5372.373,40
5376.6347,12
5378.077,7
5384.3742,8
5384.626,50
5393.6015,8
5397.5164,35
5402.6051,15
5407.3448,24
5412.4465,6
5421.352,5
5425.253,8000000
5443.6893,7
5451.652,10
5456.382,5
5460.75,6000
5465.286,250
5466.4338,6
5495.874,25
5498.1838,8
5500.3323,10
5549.634,50
5554.0227,29
5558.702,25
5572.541,10
5595.268,200000
5606.733,35
5625.6764,10
5635.8812,13
5650.704,20
5675.81,600
5691.663,11
5739.52,10
5769.61,1000
5789.69,30
5790.67,900
5803.782,400
5859.254,130
5860.31,10
5871.279,1200000
5871.975,30
5882.624,15
5888.584,25
5890.2,12
5912.085,50
5928.813,15
5947.68,150
6032.127,70
6043.223,35
6046.8977,10
6052.723,10
6059.372,20
6072.64,30
6100.096,100
6103.5397,26
6105.635,10
6114.9232,537
6123.3609,20
6138.6551,28
6141.773,150
6145.441,10
6146.435,1500000
6152.002,120
6157.138,120
6158.303,1000
6172.2775,407
6173.096,10
6212.503,10
6220.35,25
6234.36,50
6242.222,65000
6243.1199,89
6291.228,65000
6307.657,15
6324.4151,12
6384.717,20
6394.89,55000
6396.6084,11
6399.2085,18
6403.0123,11
6416.307,70
6418.3696,10
6418.98,35
6437.6013,11
6441.8981,12
6443.8591,12
6483.0825,120
6501.38,40
6538.0451,20
6538.112,15
6584.26,10
6604.853,15
6638.2202,151
6639.7403,93
6643.6973,269
6666.3587,117
6677.282,100
6684.2924,204
6709.29,30
6716.34,600
6752.834,150
6756.5522,32
6766.612,15
6808.5312,15
6861.2689,112
6863.5347,35
6871.289,150
6886.6118,26
6888.174,10
6907.46,1000
6937.664,50
6965.431,10000
7030.251,150
7067.218,10000
7068.736,100
7081.901,1000
7091.86,800
7107.478,25
7125.82,25
7147.042,1000
7158.839,15
7177.8,10
7206.98,70
7233.5341,23
7265.172,15
7272.936,2000
7311.716,35
7316.005,25
7348.0495,16
7353.293,70
7371.5,10
7372.118,200
7380.4229,44
7383.98,10000
7392.98,20
7412.337,15
7425.294,10
7435.368,25
7436.297,10
7503.869,20000
7514.652,15000
7517.46,12
7589.3152,72
7635.106,25000
7723.761,15000
7724.207,10000
7728.825,30
7891.075,10
7944.555,25000000
7946.75,25
7948.176,20000
7984.51,50
8006.157,20000
8014.786,25000
8017.528,19
8103.693,20000
8115.311,35000
8163.4,10
8264.522,10000
8392.27,20
8408.21,15000
8424.648,20000
8521.442,15000
8652.7,10
8667.944,4500
8758.1,10
8763,10
8771.8602,158
8773.1,10
8783.7,10
8796.1407,13
8849.91,180
8890.1495,22
8899.2982,11
8905.656,68
8931.3307,32
8968.9495,14
8971.364,59
8986.6158,60
8995.8638,62
8997.808,31
