#3.341480000000000018e+03,1.309871563036119893e-03
#3.650150000000000091e+03,1.687300041730421529e-01
#3.901869999999999891e+03,1.379422265498214933e-03
#3.906369999999999891e+03,1.530115454166086977e-03
4.046559999999999945e+03,5.046367134974729662e-01
4.077829999999999927e+03,4.514999768164325300e-02
4.358329999999999927e+03,1.000000000000000000e+00
4.916069999999999709e+03,2.318356748736495609e-02
5.460739999999999782e+03,8.114248620577734217e-01
5.769600000000000364e+03,5.795891871841238885e-01
5.790659999999999854e+03,2.700421940928269815e-01
6.965426499999999578e+03,1.159178374368247805e-01
7.067216999999999643e+03,1.159178374368247805e-01
7.147041000000000167e+03,1.738767561552371707e-02
7.272935000000000400e+03,3.477535123104743414e-02
7.383979599999999664e+03,1.159178374368247805e-01
7.503868499999999585e+03,2.318356748736495609e-01
7.514651399999999740e+03,1.738767561552371776e-01
7.635105599999999868e+03,2.897945935920619442e-01
7.723759900000000016e+03,1.738767561552371776e-01
7.944555000000000291e+03,6.375481059025362995e-01
7.948175500000000284e+03,2.318356748736495609e-01
8.006157000000000153e+03,2.318356748736495609e-01
8.014786000000000058e+03,2.897945935920619442e-01
8.103693000000000211e+03,2.318356748736495609e-01
8.115310999999999694e+03,4.057124310288867108e-01
8.264522999999999229e+03,1.159178374368247805e-01
8.408209600000000137e+03,1.738767561552371776e-01
8.424647499999999127e+03,1.159178374368247805e-01
8.521442199999999502e+03,1.738767561552371776e-01
9.122967399999999543e+03,2.318356748736495642e-04
