wave,flux,error,f
3431,3988.2,156.6,7
3432,3985.9,156.6,7
3433,3983.6,156.6,7
3434,3981.2,156.6,7
3435,3978.9,156.6,7
3436,3983.9,156.89,7
3437,3992.7,157.33,7
3438,4001.4,157.76,7
3439,4006.4,158.05,7
3440,4011.5,158.34,7
3441,4009.1,158.34,7
3442,4006.8,158.34,7
3443,3997.1,158.05,7
3444,3976.4,157.33,7
3445,3963.2,156.89,7
3446,3939,156.03,7
3447,3918.7,155.31,7
3448,3905.6,154.88,7
3449,3889,154.31,7
3450,3879.6,154.03,7
3451,3873.7,153.89,7
3452,3871.5,153.89,7
3453,3869.2,153.89,7
3454,3870.6,154.03,7
3455,3868.3,154.03,7
3456,3873.2,154.31,7
3457,3871,154.31,7
3458,3868.8,154.31,7
3459,3873.6,154.6,7
3460,3871.4,154.6,7
3461,3862,154.31,7
3462,3852.7,154.03,7
3463,3846.9,153.89,7
3464,3837.6,153.6,7
3465,3835.4,153.6,7
3466,3833.2,153.6,7
3467,3831,153.6,7
3468,3835.8,153.89,7
3469,3844.3,154.31,7
3470,3849.1,154.6,7
3471,3846.9,154.6,7
3472,3844.7,154.6,7
3473,3842.5,154.6,7
3474,3833.2,154.31,7
3475,3831,154.31,7
3476,3811.2,153.6,7
3477,3802,153.32,7
3478,3782.3,152.62,7
3479,3762.8,151.91,7
3480,3753.7,151.64,7
3481,3741.2,151.22,7
3482,3732.2,150.94,7
3483,3736.9,151.22,7
3484,3734.8,151.22,7
3485,3736.1,151.36,7
3486,3740.8,151.64,7
3487,3745.6,151.91,7
3488,3753.8,152.34,7
3489,3765.5,152.9,7
3490,3773.7,153.32,7
3491,3771.6,153.32,7
3492,3776.3,153.6,7
3493,3767.2,153.32,7
3494,3761.6,153.18,7
3495,3745.6,152.62,7
3496,3736.6,152.34,7
3497,3731,152.19,7
3498,3722,151.91,7
3499,3713.1,151.64,7
3500,3704.1,151.36,7
3501,3698.6,151.22,7
3502,3682.9,150.66,7
3503,3670.6,150.24,7
3504,3661.8,149.97,7
3505,3653,149.69,7
3506,3650.9,149.69,7
3507,3648.8,149.69,7
3508,3640,149.42,7
3509,3634.6,149.28,7
3510,3632.5,149.28,7
3511,3633.8,149.42,7
3512,3631.7,149.42,7
3513,3636.3,149.69,7
3514,3634.3,149.69,7
3515,3638.9,149.97,7
3516,3636.8,149.97,7
3517,3641.5,150.24,7
3518,3642.7,150.38,7
3519,3647.4,150.66,7
3520,3645.3,150.66,7
3521,3643.2,150.66,7
3522,3641.2,150.66,7
3523,3639.1,150.66,7
3524,3643.7,150.94,7
3525,3635,150.66,7
3526,3632.9,150.66,7
3527,3620.8,150.24,7
3528,3605.5,149.69,7
3529,3593.5,149.28,7
3530,3578.3,148.73,7
3531,3559.8,148.05,7
3532,3551.2,147.77,7
3533,3539.4,147.37,7
3534,3530.9,147.1,7
3535,3519.2,146.69,7
3536,3504.2,146.15,7
3537,3492.6,145.75,7
3538,3484.2,145.48,7
3539,3482.2,145.48,7
3540,3473.9,145.21,7
3541,3471.9,145.21,7
3542,3469.9,145.21,7
3543,3458.4,144.81,7
3544,3456.5,144.81,7
3545,3454.5,144.81,7
3546,3452.6,144.81,7
3547,3450.6,144.81,7
3548,3448.7,144.81,7
3549,3446.7,144.81,7
3550,3448,144.94,7
