wave,flux,error,f
3436,7357.2,289.73,7
3437,7380.1,290.8,7
3438,7396.2,291.61,7
3439,7405.6,292.15,7
3440,7401.2,292.15,7
3441,7396.9,292.15,7
3442,7392.7,292.15,7
3443,7374.7,291.61,7
3444,7356.9,291.07,7
3445,7345.9,290.8,7
3446,7314.6,289.73,7
3447,7290.2,288.93,7
3448,7272.6,288.4,7
3449,7255,287.87,7
3450,7250.8,287.87,7
3451,7246.5,287.87,7
3452,7242.3,287.87,7
3453,7231.5,287.61,7
3454,7214,287.08,7
3455,7209.8,287.08,7
3456,7205.7,287.08,7
3457,7201.5,287.08,7
3458,7217.2,287.87,7
3459,7213.1,287.87,7
3460,7222.2,288.4,7
3461,7204.7,287.87,7
3462,7200.6,287.87,7
3463,7189.8,287.61,7
3464,7172.4,287.08,7
3465,7168.3,287.08,7
3466,7164.1,287.08,7
3467,7146.8,286.55,7
3468,7129.6,286.02,7
3469,7125.4,286.02,7
3470,7114.8,285.76,7
3471,7110.7,285.76,7
3472,7113.1,286.02,7
3473,7102.5,285.76,7
3474,7085.4,285.23,7
3475,7068.3,284.71,7
3476,7044.7,283.92,7
3477,7014.7,282.88,7
3478,6991.4,282.1,7
3479,6961.7,281.06,7
3480,6938.4,280.28,7
3481,6908.9,279.25,7
3482,6898.6,279,7
3483,6869.3,277.97,7
3484,6878,278.48,7
3485,6893.1,279.25,7
3486,6901.9,279.77,7
3487,6917,280.54,7
3488,6925.8,281.06,7
3489,6934.6,281.58,7
3490,6943.3,282.1,7
3491,6939.4,282.1,7
3492,6935.4,282.1,7
3493,6931.4,282.1,7
3494,6914.7,281.58,7
3495,6910.8,281.58,7
3496,6894.1,281.06,7
3497,6877.5,280.54,7
3498,6867.2,280.28,7
3499,6850.7,279.77,7
3500,6834.1,279.25,7
3501,6823.9,279,7
3502,6807.5,278.48,7
3503,6791.1,277.97,7
3504,6774.8,277.46,7
3505,6770.9,277.46,7
3506,6767,277.46,7
3507,6763.2,277.46,7
3508,6759.3,277.46,7
3509,6755.5,277.46,7
3510,6764.1,277.97,7
3511,6760.2,277.97,7
3512,6768.8,278.48,7
3513,6764.9,278.48,7
3514,6761.1,278.48,7
3515,6757.3,278.48,7
3516,6753.4,278.48,7
3517,6749.6,278.48,7
3518,6745.7,278.48,7
3519,6741.9,278.48,7
3520,6738.1,278.48,7
3521,6746.6,279,7
3522,6749,279.25,7
3523,6745.2,279.25,7
3524,6753.8,279.77,7
3525,6750,279.77,7
3526,6746.2,279.77,7
3527,6723.7,279,7
3528,6695.2,277.97,7
3529,6672.9,277.2,7
3530,6644.6,276.19,7
3531,6622.5,275.42,7
3532,6594.5,274.41,7
3533,6572.5,273.65,7
3534,6556.7,273.15,7
3535,6541,272.65,7
3536,6531.2,272.4,7
3537,6515.5,271.89,7
3538,6487.9,270.89,7
3539,6466.3,270.15,7
3540,6438.9,269.15,7
3541,6417.5,268.41,7
3542,6402.1,267.92,7
3543,6386.7,267.42,7
3544,6383.1,267.42,7
3545,6373.6,267.18,7
3546,6375.9,267.42,7
3547,6372.3,267.42,7
3548,6368.8,267.42,7
3549,6376.9,267.92,7
3550,6373.3,267.92,7
3551,6369.7,267.92,7
3552,6354.4,267.42,7
3553,6350.8,267.42,7
3554,6341.4,267.18,7
3555,6343.7,267.42,7
3556,6340.1,267.42,7
3557,6348.2,267.92,7
3558,6356.3,268.41,7
3559,6364.5,268.9,7
3560,6366.8,269.15,7
3561,6363.2,269.15,7
3562,6359.7,269.15,7
3563,6356.1,269.15,7
3564,6346.6,268.9,7
3565,6343.1,268.9,7
3566,6339.5,268.9,7
3567,6336,268.9,7
3568,6320.8,268.41,7
3569,6317.2,268.41,7
3570,6313.7,268.41,7
3571,6310.2,268.41,7
3572,6306.6,268.41,7
